type,front_or_cloze_text,back_or_extra,domain,task_statement,priority,card_class,reference
basic,"Production data shows an agent skips get_customer 12% of the time and calls lookup_order directly, sometimes misidentifying accounts. What is the most effective fix?","Add a programmatic prerequisite that blocks lookup_order and process_refund until get_customer has returned a verified customer ID — deterministic enforcement, not prompt-based instructions.",D2,2.3,high,discrimination,Guide §9 Q1
basic,"What is a 'constrained alternative' tool, using fetch_url vs load_document as the example?","A generic tool (fetch_url, can hit any URL) is replaced by a scoped tool (load_document) that validates the URL against approved domains and accepted document formats, narrowing what the agent can actually do.",D2,2.3,high,mechanism,Guide §6 TS2.3 · Part 11
basic,"What tools should a coordinator agent typically hold, per the least-privilege example?","The Task tool to spawn subagents, plus nothing else.",D2,2.3,normal,mechanism,Part 11
basic,List the five tool distribution/tool_choice anti-patterns tested for TS2.3.,"Giving every agent all tools; assigning too many tools (e.g. 18) to one agent; allowing no cross-role tools at all (forcing expensive round trips); using ""auto"" when structured output is required; and leaving generic unconstrained tools (like fetch_url) in place.",D2,2.3,high,antipattern,Part 11
basic,"Why is having zero cross-role tools also an anti-pattern, not just having too many?","It forces every simple, high-frequency cross-domain operation through an expensive coordinator round trip, adding unnecessary latency for cases the scoped exception could handle directly.",D2,2.3,normal,antipattern,Part 11
basic,"In the multi-agent research scenario, subagents each perform correctly but the final report covers only visual arts, missing music, writing, and film. What is the root cause?","The coordinator's task decomposition was too narrow — it only created subtasks for visual-arts topics, so no subagent was ever assigned the missing domains.",D2,2.3,normal,discrimination,Guide §9 Q7
basic,What analogy is used to explain why scoping tool access to 4-5 tools per agent reduces errors?,"An assistant given access to 12 unrelated systems (email, calendar, CRM, HR, etc.) must consider all 12 for a simple request like 'schedule a meeting'; given only email and calendar, there is no confusion.",D2,2.3,normal,mechanism,Part 11
basic,"Where should a project-scoped MCP server be configured, and why?",In `.mcp.json` at the project root — it is committed to version control and automatically shared with the whole team when they clone or pull the repo.,D2,2.4,high,mechanism,Guide §6 TS2.4 · Part 12
basic,"Where should a personal/experimental MCP server be configured, and why?",In `~/.claude.json` in the user's home directory — it stays local to that developer's machine and is never committed to version control.,D2,2.4,high,mechanism,Guide §6 TS2.4 · Part 12
cloze,Project-level MCP configuration lives in {{c1::.mcp.json}} at the project root; user-level configuration lives in {{c2::~/.claude.json}}.,The two MCP configuration scope file paths.,D2,2.4,high,definition,Guide §6 TS2.4
basic,Why should secrets like API tokens never be hardcoded directly into `.mcp.json`?,"Because `.mcp.json` is committed to version control, hardcoded secrets would be exposed to everyone with repo access.",D2,2.4,high,trigger,Guide §6 TS2.4 · Part 12
cloze,"Credentials in .mcp.json are referenced using environment variable expansion syntax, e.g. {{c1::${GITHUB_TOKEN}}}.",Environment variable expansion syntax for MCP config secrets.,D2,2.4,high,mechanism,Guide §6 TS2.4 · Part 12
basic,How does environment variable expansion in .mcp.json (e.g. ${GITHUB_TOKEN}) keep credentials safe?,"The config file only stores a reference to the variable name; at runtime Claude reads the actual token value from the developer's local environment, so the real secret is never committed to the file.",D2,2.4,high,mechanism,Guide §6 TS2.4 · Part 12
basic,When are tools from all configured MCP servers made available to the agent?,"At connection time — tools from every configured MCP server are discovered simultaneously and become available together, with no manual per-tool declaration required.",D2,2.4,high,mechanism,Guide §6 TS2.4 · Part 12
basic,How does declaring a regular (non-MCP) tool differ from an MCP tool in terms of who defines and executes it?,"A regular tool is defined as a JSON schema in your client-side code and executed by your application code, and must be explicitly listed in each API call. An MCP tool is defined and executed entirely by the MCP server and is auto-discovered at connection time.",D2,2.4,high,discrimination,Part 12
basic,"What are MCP resources, and what problem do they solve?","Resources are read-only content catalogs (e.g. issue summaries, documentation hierarchies, database schemas) exposed by an MCP server; they let an agent see what's available upfront in a single read, eliminating multiple exploratory trial-and-error tool calls.",D2,2.4,high,mechanism,Guide §6 TS2.4 · Part 12
basic,When should you build a custom MCP server versus use a community one?,"Default to existing community MCP servers for standard integrations (e.g. Jira, GitHub, Slack, Postgres); reserve custom servers for team-specific, proprietary workflows with no standard equivalent.",D2,2.4,high,trigger,Guide §6 TS2.4 · Part 12
basic,"An MCP tool (codebase_search) is more capable than the built-in grep tool, but Claude keeps choosing grep instead. What is the likely cause, and what is the correct fix?","Cause: the community MCP tool's description is weak or brief compared to grep's strong built-in description. Fix: add tool-preference guidance to CLAUDE.md (e.g., explain codebase_search understands semantic relationships), not modify the MCP server's code.",D2,2.4,high,discrimination,Guide §6 TS2.4 · Part 12
basic,List the five MCP integration anti-patterns tested for TS2.4.,"Hardcoding secrets in .mcp.json, building custom servers for standard integrations that already have community options, omitting resources (forcing exploratory calls), misallocating scope (shared config placed at user level), and modifying server code to fix a description issue instead of using CLAUDE.md.",D2,2.4,high,antipattern,Part 12
basic,What analogy describes what MCP does for AI tool integrations?,"MCP is like a USB port for AI — a standardized interface that replaces the need for a proprietary, custom integration for every external service.",D2,2.4,normal,definition,Guide §6 TS2.4 · Part 9 · Part 12
basic,Name the three architectural roles in MCP.,"Host (the parent AI application coordinating the integration), Client (a dedicated connector the host runs per server), and Server (the program exposing capabilities).",D2,2.4,normal,definition,Part 9
basic,How many MCP clients does a host maintain for the servers it connects to?,One client per server it connects to.,D2,2.4,normal,mechanism,Part 9
basic,Name the three primitives an MCP server can expose.,"Tools (executable actions), Resources (read-only context data), and Prompts (reusable prompt templates/workflows).",D2,2.4,normal,definition,Part 9
cloze,An MCP tool named list_prs on a server called github is exposed to the agent using the naming convention {{c1::mcp__github__list_prs}}.,MCP tool naming convention: mcp__<server_name>__<tool_name>.,D2,2.4,high,mechanism,Part 9
basic,"What is the double-underscore MCP tool naming convention for, practically speaking?",It makes MCP tools easily recognizable and distinguishable from built-in or custom tools in configuration files and system logs.,D2,2.4,normal,mechanism,Part 9
basic,What mechanism should be used to scope an agent's MCP tool access according to least privilege?,"An allowed tools list, restricting the agent to only the MCP tools relevant to its role.",D2,2.4,normal,mechanism,Part 9
basic,When should you use Grep versus Glob?,Use Grep when you know what the code contains (searching file contents for patterns like function names or error messages). Use Glob when you know the file naming pattern (finding files by name/extension).,D2,2.5,high,discrimination,Guide §6 TS2.5 · Part 13
basic,You need to find all files matching `**/*.test.tsx`. Which built-in tool is correct?,"Glob — it matches file paths/names, not file contents.",D2,2.5,high,discrimination,Guide §6 TS2.5 · Part 13
basic,What is the most common built-in-tool mistake tested on the exam?,"Confusing Grep and Glob — using Grep to find files by name, or Glob to search file contents.",D2,2.5,high,antipattern,Part 13
basic,"When does Edit fail, and what is the correct fallback?","Edit fails when the 'old' text to replace is not unique within the file (matches in multiple places). The fallback is to Read the full file, then Write the fully modified content back.",D2,2.5,high,mechanism,Guide §6 TS2.5 · Part 13
basic,What must be true of the anchor text passed to Edit for the call to succeed?,"It must be unique within the file — if it matches multiple locations, Edit fails and more surrounding context must be added to make the match unique.",D2,2.5,high,mechanism,Part 13
basic,When should you use Write instead of Edit?,"Write is for creating brand-new files or performing complete file rewrites; Edit is for targeted, in-place modifications.",D2,2.5,high,discrimination,Guide §6 TS2.5 · Part 13
basic,Describe the recommended incremental strategy for exploring an unfamiliar codebase.,"Grep for the entry point (function/route/concept), Read that file to understand its structure, follow its imports to identify dependencies, then Read only the specific dependent files that matter — narrowing focus step by step rather than reading everything upfront.",D2,2.5,high,mechanism,Guide §6 TS2.5 · Part 13
basic,Why is reading all files in a codebase upfront considered an anti-pattern?,"It fills the context window with mostly irrelevant code, which is inefficient compared to incremental, targeted exploration.",D2,2.5,high,antipattern,Part 13
basic,"What is Bash reserved for among the built-in tools, and what should it NOT be used for?","Bash is for running shell commands: building, testing, installing dependencies, and similar operations. It should not be used for file search — the dedicated Grep and Glob tools are safer, faster, and optimized for the agent workflow.",D2,2.5,high,discrimination,Guide §6 TS2.5 · Part 13
basic,"To trace a function's usage across wrapper modules, what is the recommended sequence?","First identify all the exported names for that function (including any re-exports/wrappers), then search for each of those names across the codebase.",D2,2.5,normal,mechanism,Guide §6 TS2.5
basic,List the six built-in tools covered under TS2.5.,"Read, Write, Edit, Bash, Grep, and Glob.",D2,2.5,normal,definition,Guide §6 TS2.5 · Part 13
basic,"What does Read do, and how does it differ from Grep?",Read loads the full content of a specific known file; Grep instead searches across many files' contents for a text pattern to find which files are relevant.,D2,2.5,normal,discrimination,Part 13
basic,Where does user-level CLAUDE.md configuration live?,~/.claude/CLAUDE.md,D3,3.1,high,mechanism,Guide §6 TS3.1 · Part 14
basic,Where does project-level CLAUDE.md configuration live?,.claude/CLAUDE.md or a CLAUDE.md file at the project root,D3,3.1,high,mechanism,Guide §6 TS3.1
basic,"What is the third, most specific level of the CLAUDE.md hierarchy, and when does it load?",Subdirectory-level CLAUDE.md files — they load only when Claude is actively working within that specific subdirectory,D3,3.1,high,mechanism,Guide §6 TS3.1 · Part 14
basic,Why isn't ~/.claude/CLAUDE.md a good place to put team-wide coding conventions?,User-level settings apply only to that user — they are not shared with teammates via version control,D3,3.1,high,discrimination,Guide §6 TS3.1
basic,A new team member isn't receiving the team's coding standards even though a CLAUDE.md exists in the project. What's the likely misconfiguration?,The standards were placed in user-level CLAUDE.md (~/.claude/CLAUDE.md) instead of project-level CLAUDE.md,D3,3.1,high,antipattern,Guide §6 TS3.1 · Part 14
basic,What syntax lets a CLAUDE.md file pull in an external standards file to stay modular?,"The @import syntax, e.g. @docs/conventions.md",D3,3.1,high,mechanism,Guide §6 TS3.1 · Part 14
basic,Why use @import to bring a testing-standards file into a package's CLAUDE.md instead of pasting its content inline?,It keeps CLAUDE.md modular and lets each package's maintainer selectively include only the standards relevant to their domain knowledge,D3,3.1,high,trigger,Guide §6 TS3.1
basic,"Besides @import, what directory offers an alternative way to organize topic-specific rule files instead of one monolithic CLAUDE.md?",.claude/rules/,D3,3.1,high,mechanism,Guide §6 TS3.1
cloze,"A large CLAUDE.md covering testing, API conventions, and deployment can be split into focused topic files such as {{c1::testing.md}}, {{c1::api-conventions.md}}, and {{c1::deployment.md}} inside .claude/rules/.",Splitting a monolithic CLAUDE.md into focused rule files.,D3,3.1,high,mechanism,Guide §6 TS3.1
basic,Which command shows exactly which memory (CLAUDE.md) files are currently loaded in a session?,/memory,D3,3.1,high,mechanism,Guide §6 TS3.1
basic,Claude keeps ignoring a documented convention and you don't know why. What should you check first?,Run /memory to verify which memory files are actually loaded in the session,D3,3.1,high,trigger,Guide §6 TS3.1
basic,Why does a 'never commit secrets' rule belong in settings permissions or a hook rather than CLAUDE.md?,"CLAUDE.md is prompt-based guidance the model follows probabilistically; a rule that must hold under all circumstances needs deterministic enforcement, which only permissions or hooks provide",D3,3.1,high,discrimination,EP06
basic,Why would a stylistic preference like 'prefer functional components' belong in CLAUDE.md rather than settings permissions?,"Settings permissions enforce deterministic allow/ask/deny rules on tool execution; a style preference isn't a tool-execution rule and doesn't need hard enforcement, so it works as probabilistic prompt guidance",D3,3.1,high,discrimination,EP06
basic,What is the fundamental difference between guidance (CLAUDE.md) and guarantees (settings permissions)?,Guidance is delivered as prompt instructions and followed probabilistically; guarantees are enforced deterministically by the client and cannot be bypassed by the model,D3,3.1,high,discrimination,EP06
basic,A team wants to guarantee Claude never modifies the production /infra folder. Why is a CLAUDE.md instruction insufficient on its own?,CLAUDE.md is probabilistic guidance the model could still deviate from; deterministic protection requires a permission deny rule instead,D3,3.1,high,antipattern,EP06
basic,What is the 'monolithic CLAUDE.md' antipattern?,"An overly large single CLAUDE.md file that forces Claude to load the entire file, including irrelevant sections, on every session, wasting context tokens",D3,3.1,high,antipattern,Guide §6 TS3.1 · Part 14
basic,"Why do CLAUDE.md files cost context on every turn, and what follows from that?","Every line of memory is loaded into context on every turn of a session, so memory files should stay lean and focused only on instructions that actively change behavior",D3,3.1,high,discrimination,EP06
basic,"For a convention that applies only to one package in a monorepo (e.g. packages/billing), where should it live?",A subdirectory-level CLAUDE.md inside that package's directory,D3,3.1,high,trigger,Guide §6 TS3.1 · Part 14
basic,When should you prefer a subdirectory CLAUDE.md over a .claude/rules/ glob-scoped rule for a convention?,"When the convention is tied to one isolated location or package, not a file type spread across many directories",D3,3.1,high,trigger,Guide §6 TS3.1
cloze,"CLAUDE.md acts like {{c1::a job description}} for a new team member, since Claude Code has no memory between separate sessions and must be given persistent instructions each time.",CLAUDE.md re-provides persistent instructions every session because Claude Code has no cross-session memory.,D3,3.1,high,definition,Part 14
basic,"Why does Claude Code need CLAUDE.md files at all, given how sessions work?","Claude Code does not maintain memory between separate sessions, so instructions must be written into configuration files that are read automatically each session",D3,3.1,high,discrimination,EP06
basic,Does the @import syntax support referencing files via a home-directory path?,"Yes — @import supports paths using ~ for the home directory, and can nest a few levels deep",D3,3.1,normal,mechanism,EP06
basic,What goes wrong if a developer commits personal formatting preferences into the project-level CLAUDE.md?,"It forces that personal setup onto the entire team, since project-level CLAUDE.md is shared via version control",D3,3.1,high,antipattern,Guide §6 TS3.1 · Part 14
basic,What determines whether a piece of guidance belongs in CLAUDE.md versus a hook or permission rule?,"Whether the rule needs deterministic, programmatic enforcement (hook/permission) or is acceptable as probabilistic prompt guidance (CLAUDE.md)",D3,3.1,high,discrimination,EP06
basic,A convention applies to every file in the repo with no exceptions and needs no path targeting. Where should it go?,"The project-level (root) CLAUDE.md, since it's always loaded universally",D3,3.1,normal,trigger,Guide §6 TS3.1
basic,How do .claude/rules/ files differ from a single always-loaded CLAUDE.md in terms of loading behavior?,".claude/rules/ files can carry YAML frontmatter for path-scoping, so Claude Code loads only relevant rule files instead of one file that's always loaded in full",D3,3.1,high,mechanism,Guide §6 TS3.1 · Part 14
basic,Where must a project-scoped custom slash command file live?,.claude/commands/,D3,3.2,high,mechanism,Guide §6 TS3.2 · Q4
basic,Where do user-scoped (personal) custom slash command files live?,~/.claude/commands/,D3,3.2,high,mechanism,Guide §6 TS3.2 · Q4
basic,Why are project-scoped slash commands in .claude/commands/ automatically available to every teammate?,"They are version-controlled and checked into the repository, so cloning or pulling the repo brings the commands with it",D3,3.2,high,discrimination,Guide §6 TS3.2 · Q4
basic,A developer wants a /review command shared with the whole team on clone or pull. Where should it NOT be placed?,~/.claude/commands/ — that location is personal and not shared via version control,D3,3.2,high,antipattern,Guide §6 TS3.2 · Part 15
basic,A file at .claude/commands/review.md registers which slash command?,/review,D3,3.2,high,mechanism,EP06 · Part 15
basic,"Where do Skills live, and what file defines a skill?",".claude/skills/, configured via a SKILL.md file",D3,3.2,high,mechanism,Guide §6 TS3.2
cloze,"A SKILL.md file's YAML frontmatter supports configuration options including {{c1::context: fork}}, {{c1::allowed-tools}}, and {{c1::argument-hint}}.",The three named SKILL.md frontmatter options in scope.,D3,3.2,high,mechanism,Guide §6 TS3.2
basic,What does the context: fork frontmatter option do for a skill?,"Runs the skill in an isolated sub-agent context, so the skill's verbose output and intermediate steps don't pollute the main conversation",D3,3.2,high,mechanism,Guide §6 TS3.2
basic,A skill performs an exhaustive codebase analysis producing thousands of lines of intermediate output. Which frontmatter option should it use?,context: fork,D3,3.2,high,trigger,Guide §6 TS3.2 · Part 15
basic,What does the allowed-tools frontmatter field do in a skill?,"Restricts which tools the skill can access during execution, enforcing the principle of least privilege",D3,3.2,high,mechanism,Guide §6 TS3.2
basic,A read-only analysis skill should be prevented from making accidental file edits. Which frontmatter field enforces this?,allowed-tools — e.g. restricting the skill to read-only tools to prevent destructive actions,D3,3.2,high,trigger,Guide §6 TS3.2 · Part 15
basic,What does the argument-hint frontmatter field do?,Prompts the developer for required parameters when they invoke the skill without arguments,D3,3.2,high,mechanism,Guide §6 TS3.2
basic,How should a developer create a personal variant of a shared team skill without affecting teammates?,"Create the variant in ~/.claude/skills/ under a different, unique name so it doesn't override or conflict with the shared team skill",D3,3.2,high,mechanism,Guide §6 TS3.2 · Part 15
basic,What goes wrong if a personal skill in ~/.claude/skills/ has the exact same name as a team skill?,"It can override or shadow the team version for that developer, causing inconsistent behavior across the team",D3,3.2,high,antipattern,Part 15
basic,When should you use a skill instead of CLAUDE.md for a piece of guidance?,"Skills are for on-demand, task-specific workflows invoked explicitly; CLAUDE.md is for universal standards that should always be loaded automatically",D3,3.2,high,discrimination,Guide §6 TS3.2
basic,Why is CLAUDE.md the wrong place for a task-specific workflow that's only needed occasionally?,"CLAUDE.md is always loaded on every turn, wasting context on instructions that are rarely relevant, whereas a skill is invoked only on demand",D3,3.2,high,discrimination,Guide §6 TS3.2
basic,A universal rule like 'always use strict mode' is placed in a skill instead of CLAUDE.md. What's the problem?,"Skills require explicit invocation, so developers must remember to invoke it — a rule that must always apply belongs in CLAUDE.md instead",D3,3.2,high,antipattern,Part 15
basic,What kind of file defines a project-scoped slash command's behavior?,"A plain Markdown file (e.g. review.md) in .claude/commands/, whose content Claude reads and executes when the command is invoked",D3,3.2,normal,mechanism,EP06
basic,What's a key structural difference between custom slash commands and skills?,"Slash commands are simple markdown prompt files invoked by name; skills use a SKILL.md with richer frontmatter (context: fork, allowed-tools, argument-hint) supporting isolated execution and tool restriction",D3,3.2,high,discrimination,Guide §6 TS3.2
basic,"You need a workflow's verbose intermediate exploration hidden, with only a concise summary returned to the main chat. What single frontmatter setting accomplishes this?",context: fork,D3,3.2,high,trigger,Guide §6 TS3.2
basic,"What field in .claude/rules/ YAML frontmatter enables conditional, path-specific rule loading?",paths,D3,3.3,high,mechanism,Guide §6 TS3.3
basic,What glob pattern would scope a .claude/rules/ file to everything under a terraform/ directory?,"paths: [""terraform/**/*""]",D3,3.3,high,trigger,Guide §6 TS3.3
basic,What glob pattern applies a rule to all test files regardless of which directory they're in?,A pattern like **/*.test.tsx (or **/*.test.* for any test-file extension),D3,3.3,high,trigger,Guide §6 TS3.3 · Q6
basic,Why do path-scoped rules reduce context usage compared to a monolithic CLAUDE.md?,"CLAUDE.md is always loaded on every turn in full, while a .claude/rules/ file with a paths glob loads only when a file matching that pattern is actively being edited",D3,3.3,high,discrimination,Guide §6 TS3.3 · Part 16
basic,Test files (e.g. Button.test.tsx) sit beside their source files throughout the codebase. Why is a path-specific rule better here than subdirectory CLAUDE.md files?,"The convention needs to apply by file type across many directories, not one location; CLAUDE.md files are directory-bound and can't easily target files spread throughout the tree",D3,3.3,high,discrimination,Guide §6 TS3.3 · Q6
basic,When is a subdirectory CLAUDE.md preferable to a path-specific rule?,"When the convention is bound to one specific, isolated location or package (e.g. a monorepo package), not a file pattern spread across the codebase",D3,3.3,high,discrimination,Guide §6 TS3.3 · Part 16
basic,A .claude/rules/ file has no paths field at all. What happens?,"It loads unconditionally for every file, behaving like a global CLAUDE.md and defeating the purpose of scoping",D3,3.3,high,antipattern,Guide §6 TS3.3 · Part 16
basic,"A rules file sets paths: [""**/*""]. What's wrong with this?","It matches every file, so the rule always loads — an overly broad glob defeats the purpose of conditional, modular loading",D3,3.3,high,antipattern,Part 16
basic,Can a paths field in rules frontmatter contain multiple glob patterns?,Yes — an array of patterns; the rule loads if any one of the patterns matches the file being edited,D3,3.3,normal,mechanism,Guide §6 TS3.3 · Part 16
cloze,"In .claude/rules/ frontmatter, the glob pattern {{c1::src/api/**/*}} scopes a rule to all files inside the API directory and its subdirectories.",Path scoping to an entire directory tree.,D3,3.3,high,mechanism,Guide §6 TS3.3
cloze,"In .claude/rules/ frontmatter, the glob pattern {{c1::**/*.tsx}} scopes a rule to all React component files anywhere in the repository.","Path scoping by file type, regardless of directory.",D3,3.3,high,mechanism,Part 16
basic,Why is relying on Claude to infer which section of a monolithic CLAUDE.md applies to the current file considered unreliable?,"It depends on the model's inference rather than explicit, deterministic path matching, so application of the convention is inconsistent",D3,3.3,high,discrimination,Guide §6 TS3.3 · Q6
basic,"A codebase has separate conventions for React components, API handlers, and database models, plus test files scattered throughout. What's the most maintainable configuration approach?",".claude/rules/ files with YAML frontmatter glob patterns, each scoping a convention set to the relevant file types or paths",D3,3.3,high,trigger,Guide §6 TS3.3 · Q6
basic,What specific problem does path-scoped rule loading solve that directory-level CLAUDE.md cannot?,"Applying one convention to files of a given type wherever they live in the tree, without duplicating configuration files across every directory containing that file type",D3,3.3,high,discrimination,Guide §6 TS3.3
basic,A team duplicates a testing-conventions CLAUDE.md into every directory that contains tests. What's the better alternative?,A single .claude/rules/ file scoped with a paths glob like **/*.test.* that matches test files anywhere in the codebase,D3,3.3,high,antipattern,Part 16
basic,What format is used to define the paths glob scoping in a .claude/rules/ file?,YAML frontmatter at the top of the rule's markdown file,D3,3.3,normal,mechanism,Guide §6 TS3.3
basic,What does plan mode do before any file changes are made?,"Claude explores the codebase and proposes a plan, editing nothing until the plan is approved",D3,3.4,high,definition,Guide §6 TS3.4
basic,For which kinds of tasks is plan mode designed?,"Complex tasks involving large-scale changes, multiple valid approaches, architectural decisions, and multi-file modifications",D3,3.4,high,trigger,Guide §6 TS3.4
basic,For which kinds of tasks is direct execution appropriate?,"Simple, well-scoped changes with a clear, known approach — e.g. adding a single validation check to one function",D3,3.4,high,trigger,Guide §6 TS3.4
basic,Why choose plan mode for a library migration touching 45+ files rather than direct execution?,The large scope and architectural implications make costly mid-execution rework likely without upfront exploration and human review of the approach,D3,3.4,high,discrimination,Guide §6 TS3.4
basic,What subagent does plan mode use for its initial codebase discovery phase?,The Explore subagent,D3,3.4,high,mechanism,Guide §6 TS3.4
basic,Why does plan mode use the Explore subagent instead of running discovery directly in the main conversation?,"It isolates verbose discovery output (searches, file reads) in its own context and returns only a summary, preventing context window exhaustion in the main session",D3,3.4,high,discrimination,Guide §6 TS3.4 · Part 17
basic,What is the core value plan mode adds that direct execution lacks?,"A human review and approval checkpoint before any changes are committed, preventing costly rework from unforeseen complexity",D3,3.4,high,discrimination,Part 17
basic,A task can be described in one sentence and there's only one obvious way to do it. Which mode should you use?,Direct execution,D3,3.4,high,trigger,Part 17
basic,What is the recommended hybrid workflow for a complex migration?,"Use plan mode to investigate and design a phased approach, then use direct execution to implement each planned step",D3,3.4,high,mechanism,Guide §6 TS3.4 · Part 17
basic,Why is skipping plan mode risky for a monolith-to-microservices restructuring?,"Dependency and service-boundary issues discovered mid-execution can force costly rework, since the architecture wasn't explored and reviewed before changes began",D3,3.4,high,antipattern,Guide §6 TS3.4 · Q5
basic,What is the most effective way to communicate an expected transformation when prose descriptions get interpreted inconsistently?,Provide 2-3 concrete input/output examples,D3,3.5,high,mechanism,Guide §6 TS3.5
basic,Why do prose instructions like 'normalize names to title case' often produce inconsistent results across runs?,"Natural-language descriptions leave formatting and edge-case rules ambiguous, so the model fills the gaps differently each time; concrete examples remove that ambiguity",D3,3.5,high,discrimination,Part 18
basic,What is test-driven iteration in the context of refining Claude's output?,"Writing a test suite first, then iterating by sharing specific test failures with Claude to guide progressive improvement",D3,3.5,high,definition,Guide §6 TS3.5
basic,A test fails during iterative refinement. What should you share with Claude rather than a vague description like 'it doesn't work'?,The exact failure message and diff — expected versus received values,D3,3.5,high,trigger,Part 18
basic,What is the 'interview pattern'?,"Having Claude ask clarifying questions to surface design considerations (e.g. cache invalidation strategy) before implementing a solution, instead of assuming defaults",D3,3.5,high,definition,Guide §6 TS3.5
basic,You ask Claude to implement a caching layer in an unfamiliar domain. What technique surfaces considerations like invalidation strategy before code is written?,The interview pattern,D3,3.5,high,trigger,Guide §6 TS3.5 · Part 18
basic,When should multiple issues be given to Claude in a single message rather than fixed one at a time?,"When the issues interact — fixing one changes the correct behavior or handling of the other, so they must be addressed together",D3,3.5,high,discrimination,Guide §6 TS3.5 · Part 18
basic,When is it appropriate to fix issues sequentially rather than in one combined message?,When the issues are independent — fixing one has no effect on the correct behavior of the other,D3,3.5,high,discrimination,Guide §6 TS3.5 · Part 18
basic,"You changed a function's type signature to accept null, and its callers now need updating too. Should this be one combined fix or sequential fixes?","One combined fix — the issues interact, since the signature change requires updating the callers at the same time",D3,3.5,high,trigger,Part 18
basic,"You have an unrelated missing-error-handling bug in one module and unused imports in a separate, unrelated module. How should these be addressed?","Sequentially, one at a time — fixing one has no effect on the other",D3,3.5,high,trigger,Part 18
basic,What single question determines whether two issues are 'interacting' and must be fixed together?,"Does fixing issue A change the correct behavior of issue B? If yes, fix them together; if no, fix them sequentially",D3,3.5,high,mechanism,Part 18
basic,What's wrong with instructing Claude to just 'handle null values gracefully' for a migration script?,"It's vague and forces the model to guess the exact behavior; an executable specification with precise input/output pairs (e.g. null name maps to """") removes the ambiguity",D3,3.5,high,antipattern,Guide §6 TS3.5 · Part 18
basic,Why does providing example input/output pairs work better than describing edge cases in prose for a migration script?,"Concrete examples define the exact expected transformation unambiguously, while prose leaves specific edge-case behavior open to inconsistent interpretation",D3,3.5,high,discrimination,Guide §6 TS3.5
basic,What CLI flag runs Claude Code non-interactively in an automated pipeline?,-p (or --print),D3,3.6,high,mechanism,Guide §6 TS3.6 · Q10
basic,"Why does a CI pipeline calling `claude ""...""` without -p hang indefinitely?","Without -p, Claude Code runs interactively and waits for input that never comes in an automated pipeline",D3,3.6,high,discrimination,Guide §6 TS3.6 · Q10
basic,What flag(s) produce machine-parseable structured output for CI use?,"--output-format json, optionally combined with --json-schema",D3,3.6,high,mechanism,Guide §6 TS3.6
basic,You need automated review findings posted as inline PR comments by a script. What CLI flags produce the needed structured output?,--output-format json together with --json-schema,D3,3.6,high,trigger,Guide §6 TS3.6
basic,How does CI-invoked Claude Code typically receive project context like testing standards and review criteria?,"Via CLAUDE.md, which is automatically loaded the same as in an interactive session",D3,3.6,high,mechanism,Guide §6 TS3.6 · Part 19
basic,Why is the same Claude session that generated code less effective at reviewing its own changes than a fresh session?,"Session context isolation: an independent review instance lacks the reasoning context and confirmation bias of the session that wrote the code, giving a more objective review",D3,3.6,high,discrimination,Guide §6 TS3.6 · Part 19
basic,You're re-running an automated PR review after new commits and want to avoid duplicate comments. What should you include in the prompt?,"The prior review findings/comments, instructing Claude to report only new or still-unaddressed issues",D3,3.6,high,trigger,Guide §6 TS3.6
basic,You want newly generated tests to avoid duplicating existing coverage. What should you provide in context?,The existing test files,D3,3.6,high,trigger,Guide §6 TS3.6
basic,"Where should testing standards, fixture conventions, and review criteria be documented so CI-invoked Claude Code applies them?",CLAUDE.md,D3,3.6,high,mechanism,Guide §6 TS3.6
basic,A CI script tries a --batch flag or a CLAUDE_HEADLESS environment variable to avoid pipeline hangs. Why is this wrong?,Neither exists in Claude Code; the correct mechanism for non-interactive execution is the -p/--print flag,D3,3.6,high,antipattern,Guide §6 TS3.6 · Q10
basic,What kind of review criteria reduces false positives more effectively than confidence-based filtering?,"Specific categorical criteria that define exactly which issue types to report vs. skip, rather than vague confidence thresholds.",D4,4.1,normal,mechanism,Guide §6 TS4.1 · Part 20
basic,"Why does telling Claude to ""be conservative"" or ""only report high-confidence findings"" fail to improve precision?","These are vague, subjective instructions that don't define concrete criteria, so the model's judgment stays inconsistent.",D4,4.1,normal,discrimination,Guide §6 TS4.1 · Part 20
basic,A code-review category has a very high false-positive rate and developers have stopped trusting the tool's output. What's the recommended fix?,"Temporarily disable that category while refining its prompt criteria, to restore trust in the still-accurate categories.",D4,4.1,normal,trigger,Guide §6 TS4.1 · Part 20
basic,Why does a high false-positive rate in one review category damage developer trust in accurate categories too?,"Developers start distrusting all findings once they've been burned by noise in any category, even ones with good precision.",D4,4.1,normal,discrimination,Guide §6 TS4.1 · Part 20
basic,Give the exam guide's example of a vague review instruction versus its explicit-criteria replacement.,"Vague: ""check that comments are accurate."" Explicit: ""flag comments only when claimed behavior contradicts actual code behavior.""",D4,4.1,normal,mechanism,Guide §6 TS4.1
basic,How should a prompt define severity tiers to achieve consistent classification across review sessions?,Give explicit severity criteria anchored with concrete code examples for each severity level.,D4,4.1,normal,mechanism,Guide §6 TS4.1 · Part 20
basic,"In an automated CI/CD review pipeline, should you optimize for precision or recall?","Precision — a smaller set of verified, actionable findings is more valuable than catching every marginal issue.",D4,4.1,normal,discrimination,Guide §6 TS4.1 · Part 20
